Country,CountryCode,Year,IndicatorCode,IndicatorClass,IndicatorLabel,Value
Thailand,THA,2023,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",1.226528
"Taiwan, China",TWN,2023,CPI_YOY_SEAS,CPI,"CPI Price, % year-over-year, seasonally adjusted",2.487594
Brazil,BRA,2002,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",62.35481
China,CHN,2002,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",82.01122
"Hong Kong SAR, China",HKG,2002,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",92.01814
Mexico,MEX,2002,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",71.56488
Philippines,PHL,2002,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",70.0494
Poland,POL,2002,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",82.46697
Thailand,THA,2002,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",80.37508
"Taiwan, China",TWN,2002,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",91.58639
Brazil,BRA,2003,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",71.53027
China,CHN,2003,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",82.93702
"Hong Kong SAR, China",HKG,2003,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",89.63719
Mexico,MEX,2003,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",74.81883
Philippines,PHL,2003,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",71.60653
Poland,POL,2003,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",83.12216
Thailand,THA,2003,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",81.83612
"Taiwan, China",TWN,2003,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",91.32874
Brazil,BRA,2004,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",76.24925
China,CHN,2004,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",86.10858
"Hong Kong SAR, China",HKG,2004,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",89.30839
Mexico,MEX,2004,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",78.32665
Philippines,PHL,2004,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",75.04296
Poland,POL,2004,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",86.08945
Thailand,THA,2004,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",84.13515
"Taiwan, China",TWN,2004,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",92.79713
Brazil,BRA,2005,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",81.48722
China,CHN,2005,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",87.64077
"Hong Kong SAR, China",HKG,2005,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",90.12472
Mexico,MEX,2005,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",81.4504
Philippines,PHL,2005,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",80.02577
Poland,POL,2005,CPI_NOM_NOSEAS,CPI,"CPI Price, nominal, not seasonally adjusted",87.9034
